Station_ID,Station_Name,Location_Label,Interval_Minutes,Interval_End_Time,Wind_Velocity_Mtr_Sec,Wind_Direction_Variance_Deg,Wind_Direction_Deg,Ambient_Temperature_Deg_C,Global_Horizontal_Irradiance
SF18,"Pier 40","Pier 40",5,2016-01-6? 00:05,0.869,19.8,334.7,7.04,0
SF18,"Pier 40","Pier 40",5,2016-01-6? 00:10,1.15,18.91,338.9,6.971,0
SF18,"Pier 40","Pier 40",5,2016-01-6? 00:15,1.501,13.63,355.6,6.938,0
SF18,"Pier 40","Pier 40",5,2016-01-6? 00:20,0,0,0,6.939,0
SF18,"Pier 40","Pier 40",5,2016-01-6? 00:25,0.889,16.99,345.6,6.952,0
SF18,"Pier 40","Pier 40",5,2016-01-6? 00:30,0.481,12.18,340.5,6.982,0
SF18,"Pier 40","Pier 40",5,2016-01-6? 00:35,0.759,13.38,332,6.942,0
SF18,"Pier 40","Pier 40",5,2016-01-6? 00:40,1.131,16.03,340.3,6.91,0
SF18,"Pier 40","Pier 40",5,2016-01-6? 00:45,1.382,21.87,331.1,6.92,0
SF18,"Pier 40","Pier 40",5,2016-01-6? 00:50,0.868,14.2,340.6,6.956,0
SF18,"Pier 40","Pier 40",5,2016-01-6? 00:55,0.136,4.062,340.1,6.919,0
SF18,"Pier 40","Pier 40",5,2016-01-6? 01:00,0,0,0,6.869,0
SF18,"Pier 40","Pier 40",5,2016-01-6? 01:05,0,0,0,6.878,0
SF18,"Pier 40","Pier 40",5,2016-01-6? 01:10,0,0,0,6.789,0
SF18,"Pier 40","Pier 40",5,2016-01-6? 01:15,0.39,11.05,345.7,6.739,0
SF18,"Pier 40","Pier 40",5,2016-01-6? 01:20,0,0,0,6.726,0
SF18,"Pier 40","Pier 40",5,2016-01-6? 01:25,0.393,9.82,4.883,6.639,0
SF18,"Pier 40","Pier 40",5,2016-01-6? 01:30,0.077,2.838,358.4,6.641,0
SF18,"Pier 40","Pier 40",5,2016-01-6? 01:35,0,0,0,6.76,0
SF18,"Pier 40","Pier 40",5,2016-01-6? 01:40,2.067,10.46,28.25,6.896,0
